Addiction Treatment,AT
Aesthetics,Aest
Allergy,All
Anesthesiology,Anes
Bariatrics,Bar
Cancer Treatment,CT
Cardiac Surgery,CS
Cardiology,Card
Checkup,C/U
Dental Care,Dent
Dermatology,Derm
Dialysis,Dialen
Endocrinology,Endo
Ear-Nose-Throat,ENT
Eye Surgery,ES
Gastroenterology,GI
General Surgery,GS
Geriatrics,Geri
Hair Transplant,HT
Hematology,Hem
Hepatology,Hep
Imaging,Img
Immunology,Imm
Infertility Treatment,IF
Internal Medicine,IntMed
Nephrology,Neph
Neurology,Neurol
Neurosurgery,NeuroSurg
Obstetrics and Gynecology,ObGyn
Orthopedic Surgery,Ortho
Pediatrics,Ped
Plastic Surgery,PlastSurg
Psychiatry,Psych
Psychology,Psychol
Pulmonology,Pulm
Rehabilitation,Rehab
Rheumatology,Rheum
Robotic Surgery,RS
Stem Cell Therapy,SCT
Transplantation,Trans
Urology,Urol
Vascular Surgery,VascSurg
Family Medicine,FM
Acupuncture,Acu
Algology,Alg
Infectious Diseases and Clinical Microbiology,ID/CM
Traditional and Complementary Medicine,TCM
Gynecologic Oncology,GynOncol
Chemotherapy,Chemo
Nuclear Medicine,NucMed
Oncology Surgery,OncolSurg
Organ Transplantation,OT
Perinatology,Peri
Pathology,Path
Radiation Oncology,RadOnc
Medical Oncology,MedOncol
In Vitro Fertilization Center,IVFCenter
